,제목,가수,가사
11,아리운,케이시 (Kassy),그대 눈물이 시린 바람에 흐르지 못하고 여린 마음이 황량한 길 그 어디엔가 메말라 갈 때에 그대 안에 나의 마음들을 채워 주고 싶어 그대 무너지지 않게 새벽 안개 짙게 드리워질 때에도 하얀 눈 위로 피어나는 꽃처럼 이 험한 길 위에 홀로 버텨온 찬란한 그대의 아름다운 이름 아리운 내 마음 깊은 곳에 새겨본다 새겨본다 그리 짧았던 한낮의 쏟아지던 어제의 해는 긴 밤 지나 새벽녘까지도 돌아오지 않고 행여 그대 주저앉을까 한걸음 뒤에 머물러 하얀 눈 위로 피어나는 꽃처럼 이 험한 길 위에 홀로 버텨온 찬란한 그대의 아름다운 이름 아리운 내 마음 깊은 곳에 새겨 기대어 가끔은 숨어 눈물을 훔쳐도 나의 모든 걸 내어줄 유일한 찬란한 그대의 늘 그리운 이름 아리운 내 마음 깊은 곳에 새겨본다 새겨본다
12,하루도 그대를 사랑하지 않은 적이 없었다,임창정,맞이하고 보내준 수 많은 일 년 중 그대 내게 떠났던 그 해가 있었죠 어디에 있을까 잘 지내 지나요 아팠던 건 잘 보내 줬나요 날 떠나겠다는 말 참 힘들었어요 사랑한단 말도 그대가 했기에 거기서 떠나요 나도 잘 떠났으니 이제야 그댈 이해하네요 사랑 누구나 하는 흔하디 흔한 이야기 시작의 이유도 헤어짐의 이유도 그땐 모르기에 그저 치열한 날들 우린 어떤 사랑을 했었나요 그 가슴에 가지 말라는 말 왜 안 했겠어요 혹시 싫어할까 가슴에 남긴 말 그대는 그 날로 나를 지워갔겠죠 이제야 그댈 보고 싶은데 사랑 누구나 하는 흔하디 흔한 이야기 숨마저 못 쉬던 걸을 수조차 없던 이별이 기다려 모두 가져간 날들 우린 어떤 이유가 있었나요 떠나던 날 익숙함을 핑계 삼아야 했던 그날이 이제는 그리워질 텐데 말을 못해서 표현 못해서 그댈 단 하루라도 사랑하지 않은 적이 없단 걸 사랑 누구나 하는 흔하디 흔한 이야기 시작의 이유도 헤어짐의 이유도 그땐 모르기에 그저 치열한 날들 우린 어떤 사랑을 했었나요 그 가슴에 사랑 누구나 하는 흔하디 흔한 이야기 숨마저 못 쉬던 걸을 수 조차 없던 이별이 기다려 모두 가져간 날들 우린 어떤 이유가 있었나요 떠나던 날
13,너 아니면 안돼,먼데이 키즈 (Monday Kiz),오늘도 내 기억을 따라 헤매다 이 길 끝에서 서성이는 나 다신 볼 수도 없는 네가 나를 붙잡아 나는 또 이 길을 묻는다 널 보고 싶다고 또 안고 싶다고 저 하늘 보며 기도하는 날 네가 아니면 안돼 너 없인 난 안돼 나 이렇게 하루 한달을 또 일년을 나 아파도 좋아 내 맘 다쳐도 좋아 난 그래 난 너 하나만 사랑하니까 나 두 번 다시는 보낼 수 없다고 나 너를 잊고 살 순 없다고 네가 아니면 안돼 너 없인 난 안돼 나 이렇게 하루 한달을 또 일년을 나 아파도 좋아 내 맘 다쳐도 좋아 난 그래 난 너 하나만 사랑하니까 내 멍든 가슴이 널 찾아 오라고 소리쳐 부른다 넌 어디 있는 거니 나의 목소리 들리지 않니 나에게는 나 다시 살아도 몇 번을 태어나도 하루도 네가 없이 살 수 없는 나 내가 지켜줄 사람 내가 사랑할 사람 난 그래 난 너 하나면 충분하니까 너 하나만 사랑하니까
14,나를 사랑했던 사람아,허각,잘 지내고 있는건지 무슨 일 없는지 지겹던 너의 잔소리가 너무 그리워서 그렇게 나 하나밖에 모르던 너인데 나 없이도 괜찮은지 하루에 수백번씩 나 후회를 하고 네가 없다는걸 느끼며 나 매일을 살아 널 위해 내가 떠나야 하는게 맞지만 난 널 잊고 살 순 없는가봐 나를 사랑했던 사람아 이젠 곁에 없지만 아직 잊지 못하고 너를 잊지 못하고 그저 한번이라도 다시 볼 수 있다면 볼 수만 있다면 다시 널 볼 수 있다면 너무나도 아프고 잊을 수가 없어 하루에도 몇번씩 하던 너의 그 투정이 웃으며 내 품에 안겨서 날 보던 모습이 헤어지던 날 너의 두 눈이 나를 사랑했던 사람아 이젠 곁에 없지만 아직 잊지 못하고 너를 잊지 못하고 그저 한번이라도 다시 볼 수 있다면 널 볼 수만 있다면 네가 있어서 나는 항상 웃을 수 있었고 네가 있기에 내가 가장 행복했었고 너로 인해 내 삶도 살아볼만했었어 내가 너무도 사랑했던 사람아
15,이 소설의 끝을 다시 써보려 해,한동근,시계가 반대로 돌아가고 있어 TV속 영화가 되감아지고 있어 내렸던 빗물이 올라가고 있어 잊었던 기억이 돌아오고 있어 도로 위에 차들이 반대로 달리고 온 세상의 모든 게 다 거꾸로 움직여 지금 나는 계속 반대로 뒷걸음질 치며 그날의 너에게 돌아가고 있어 운명 같은 만남 너무 아픈 결말 난 이 소설의 끝을 다시 써보려 해 내 한 권의 사랑 마지막 장면엔 니가 있어야 해 그래야 말이 되니까 한 장씩 한 장씩 뒤로 넘겨 지며 아팠던 일기가 지워지고 있어 가루 낸 사진이 모여들고 있어 버렸던 미련이 돌아오고 있어 삼켰던 내 눈물이 다시 뱉어지고 뱉었던 그 모진 말은 다시 삼켜지고 지금 나는 계속 반대로 뒷걸음질 치며 그날의 너에게 돌아가고 있어 운명 같은 만남 너무 아픈 결말 난 이 소설의 끝을 다시 써보려 해 내 한 권의 사랑 마지막 장면엔 니가 있어야 해 그래야 말이 돼 여기야 우리가 이별한 그 슬픈 페이지 내 앞에서 니가 서서 울고 있어 너에게 묻고 싶어 너만 괜찮다면 난 이 소설의 끝을 다시 써보려 해 내 한 권의 사랑 마지막 장면엔 니가 있어야 해 그래야 말이 되니까
16,거짓말이라도 해서 널 보고싶어,백지영,내가 미안해 이렇게 아플 줄도 모르고 너에게 모질게도 대했던 바보야 후회에 맘을 담아 봤자 이미 끝난 걸 이제 다시는 너를 볼 수 없잖아 거짓말이라도 해서 널 보고싶어 줄게 남아있다고 억지를 부리곤 한번 더 너를 보고싶어 나 많이 구차하지만 네 맘을 돌릴 수 있다면 다시 날 사랑하게 할 수 있다면 내가 그대를 기다릴게요 어제는 하루 종일 펑펑 울었어 아직까지도 너의 온기가 내 맘을 감싸 안아서 내 맘을 왜 몰라주냐며 슬프게 울고 있던 너를 그저 바라보기만 했었던 나야 거짓말이라도 해서 널 보고싶어 줄게 남아있다고 억지를 부리곤 한번 더 너를 보고싶어 나 많이 구차하지만 네 맘을 돌릴 수 있다면 다시 날 사랑하게 할 수 있다면 내가 그대를 기다릴게요 나를 버리지마 내가 잘못했어 잠시 동안 내가 미쳤었나봐 가슴이 찢어질 듯이 아파 제발 가지마 내게 잘 지내라고 말하지마 거짓말이었어 확인받고 싶어서 사랑받고 싶어서 네 맘을 찢어놓고 이기적인 사랑을 했었나봐 내가 미친게 맞아 이제 와서 후회가 돼 그렇게 잘해줬던 너였는데 내가 그대를 놓친 거에요 나 같은 사람 만나지마요
17,그리워하다,비투비,My life is incomplete It’s Missing you 오늘도 하루를 보내 다를 게 없이 하나도 안 어색해 혼자 있는 게 너 없인 안될 것 같던 내가 이렇게 살아 근데 좀 허전해 난 여전히 거기 있나 봐 후련하게 다 털어내 다 다 지난 일에 마음 쓰는 게 It’s alright 답이 잘 보이는가 싶다가도 어느새 날 가두는 감옥이 돼 시간은 앞으로만 가는 걸 어째 그 동안 난 아무것도 이룬 것이 없네 아직도 내 마음속엔 너 Oh oh 너를 그리워하다 하루가 다 지났어 너를 그리워하다 일 년이 가버렸어 난 그냥 그렇게 살아 너를 그리워하다 그리워하다 다 괜찮을 거라 되뇌어 봐도 내 하루에 끝엔 또 너로 남아 너 없인 안될 것 같던 내가 이렇게 살아 사실 좀 허전해 넌 여전히 여기 있나 봐 내 마음은 여전해 아직 너를 원해 몇 년이 지나도 난 아직 널 그리워해 난 아직 기억해 우리 처음 봤을 때 네 옷차림과 머리 스타일도 다 정확하게 I pray for you every night and day I hope that someday soon I can see you once again 아직도 내 마음속엔 너 Oh oh 너를 그리워하다 하루가 다 지났어 너를 그리워하다 일 년이 가버렸어 난 그냥 그렇게 살아 너를 그리워하다 그리워하다 잠에서 깨어 헝클어진 머리처럼 내 일상도 꽤나 엉망이 돼버렸어 책임져 아무렇지 않은 척 드리워진 표정도 내 모든 곳에 스며든 네 흔적도 다 책임져 아직도 난 잊을 수 없나 봐 다시 돌아와 줘 또다시 같은 엔딩이라 해도 너 너를 그리워하다 하루가 다 지났어 너를 그리워하다 일 년이 가버렸어 너를 잊으려 하다 하루가 지나가도 너를 지우려 하다 일 년이 가버려도 난 그냥 그렇게 살아 너를 그리워하다 그리워하다 그리워하다 그리워하다
18,사랑이란 멜로는 없어,전상근,다 끝이라고 우리 다신 마주하지 말자 내게 모질게도 대했던 그대에게 처음으로 내뱉은 말 아직 사랑하는데 더는 내 곁에 없단 걸 알아 너 먼저 떠나고 혼자 남겨진 나는 오늘도 한숨만 내쉬며 걷는다 사랑이란 멜로는 없어 그렇게 사랑했던 우리가 남이 되는 게 돌아오지 않을 네 뒷모습을 보며 아직 너를 사랑한다고 말하지 못했어 사랑이란 멜로는 없어 혹시 네가 다시 돌아오면 고백할게 거짓말이라고 보고 싶었다고 우연히라도 마주치길 바래왔었다고 오늘 하루가 참 길어 우리 그렇게 헤어지던 날 애써 웃음을 지었던 내가 참 바보 같죠 그때 널 잡았었다면 지금 달라졌을까 사랑이란 멜로는 없어 그렇게 사랑했던 우리가 남이 되는 게 돌아오지 않을 네 뒷모습을 보며 아직 너를 사랑한다고 말하지 못했어 하루 종일 네 사진을 보고 있으면 다시 돌아가고 싶어 너를 품에 안고 싶어 그날 그대를 놓치지 않았다면 어땠을까 사랑이란 멜로는 없어 사랑이란 멜로는 없어 그렇게 사랑했던 우리가 남이 되는 게 돌아오지 않을 네 뒷모습을 보며 아직 너를 사랑한다고 말하지 못했어 사랑이란 멜로는 없어 혹시 네가 다시 돌아오면 고백할게 거짓말이라고 보고 싶었다고 우연히라도 마주치길 바래왔었다고
19,You,멜로망스,어떻게 난 해야 해 니가 떠난다고 말하면 난 혼자 남겨지는 게 더 두려울 텐데 이유를 말해준다면 조금 편할 것 같아 아주 작은 손짓조차도 내겐 소중한 너를 잊을 수 없는 슬픈 기억 속으로 보내 잠 못 이루겠지 YOU 비가 오는 거리에 혼자 버려진 채로 서 있는 날 생각해 봤니 혼자 있는 밤이면 니가 잠이 들던 자리엔 슬피 우는 나의 눈물로 모두 젖어 들 거야 모두가 말했었어 둘이 잘 어울린다고 그럴 땐 넌 내 품에 기대어왔어 이젠 눈을 감으면 꿈속에서 널 만나 긴 밤을 지내다 널 아침이 되면 난 잠에서 깨어 다시 보내고 난 후 아파 눈물 흘리겠지 YOU 비가 오는 거리에 혼자 버려진 채로 서 있는 날 생각해 봤니 혼자 있는 밤이면 니가 잠이 들던 자리에 슬피 우는 나의 눈물로 모두 젖어 들 거야 YOU 비가 오는 거리에 혼자 버려진 채로 서 있는 날 생각해봤니 혼자 있는 밤이면 니가 잠이 들던 자리에 슬피 우는 나의 눈물로 모두 젖어 들 거야
20,기억해줘요 내 모든 날과 그때를,거미,듣고있나요 나의 이 모든 얘기를 그댈 향한 내 깊은 진심을 매일 그리움 속에 그대를 불러보지만 닿을 수 없는 마음을 나도 이젠 알 것 같아요 내 안의 그대를 놓을 수 없네요 애써도 그게 잘 안돼요 마음과 반대로 밀어내려 할수록 이토록 더 아파지네요 기억하나요 나의 이 모든 얘기를 그댈 향한 내 깊은 진심을 매일 그리움 속에 그대를 불러보지만 닿을 수 없는 마음을 나도 이젠 알 것 같아요 스쳐가는 이 계절을 지나 언젠가는 멀어질 걸 아니까 더 모질게 그댈 밀어냈어요 너무 가슴이 미칠 듯 아파도 듣고 있나요 나의 이 모든 얘기를 그댈 향한 내 깊은 진심을 매일 그리움 속에 그대를 불러보지만 닿을 수 없는 마음을 나도 이젠 알 것 같아요 아무 이유 없이 눈물 나는 날에는 그댈 찾아가고 있네요 이렇게 기억해줘요 내 모든 날과 그때를 지울수록 선명해지니까 가슴 아프겠지만 그대를 보내야 해요 나를 기억해주세요 나 그대만 사랑했음을
21,동화,멜로망스,너의 마음속 내 모습들 언젠가 얘기해줬을 때 듣고 있는 날엔 어느새 날 위한 이야긴 듯해 너의 마음이 아니면 들을 수 없을 내 얘기들 네 안에 그려진 내 모습이 그저 고마울 뿐이야 너를 위한 이야기로 있어줄게 언제나 네 옆에서 힘이 돼줄게 항상 너만의 예쁜 이야기로 네 옆에 남아 있을게 우리가 나눈 시간 위에 그린 서로의 모습들이 앞으로의 우리에 대해 믿을 수 있게 하는 듯해 너의 마음이 아니면 볼 수 없었을 내 모습들 너도 몰랐었던 네 모습을 너에게 들려줄게 너를 위한 이야기로 있어줄게 언제나 네 옆에서 힘이 돼줄게 항상 너만의 예쁜 이야기로 네 옆에 남아 있을게 서로의 마음속에 그려 왔었던 우리라는 그림들을 서로 나누고 있었을 때 지킬 수 있을 미래가 돼 항상 너만의 예쁜 이야기로 네 옆에 남아있을게 너를 위한 이야기로 있어줄게 언제나 네 옆에서 힘이 돼줄게 항상 너만의 예쁜 이야기로 네 옆에 남아 있을게 널 향한 맘을 나 항상 지킬게
22,위로,권진아,세상과 다른 눈으로 나를 사랑하는 세상과 다른 맘으로 나를 사랑하는 그런 그대가 나는 정말 좋다 나를 안아주려 하는 그대 그 품이 나를 잠재우고 나를 쉬게 한다 위로하려 하지 않는 그대 모습이 나에게 큰 위로였다 나의 어제에 그대가 있고 나의 오늘에 그대가 있고 나의 내일에 그대가 있다 그댄 나의 미래다 나와 걸어주려 하는 그대 모습이 나를 웃게 하고 나를 쉬게 한다 옆에 있어주려 하는 그대 모습이 나에게 큰 위로였다 나의 어제에 그대가 있고 나의 오늘에 그대가 있고 나의 내일에 그대가 있다 그댄 나의 미래다
